['Mesquite, TX',79],
['Sycamore, IL',3],
['Osceola, AR',7],
['Safford, AZ',1],
['Marathon, FL',3],
['Jeffersonville, IN',1],
['Skokie, IL',1],
['Drexel Hill, PA',4],
['Magnolia, AR',2],
['America Samoa',1],
['Greensboro, AL',2],
['Somerset, KY',4],
['McDonough, GA',26],
['Piqua, OH',8],
['Honey Grove, TX',1],
['Aurora, NE',1],
['Rumson, NJ',1],
['Boca Del Ray, FL',1],
['Lake Elsinore, CA',2],
['Amelia, VA',1],
['Portsmouth, OH',5],
['Shakopee, MN',1],
['Refugio, TX',3],
['Toronto, Ontario',10],
['Shiner, TX',1],
['New Brunswick, NJ',12],
['Kinder, LA',1],
['El Dorado Hills, CA',6],
['Ocilla, GA',2],
['Anniston, AL',2],
['Sylvania, OH',4],
['Hauula, HI',3],
['Greenville, TX',3],
['Webster Groves, MO',5],
['Longville, LA',1],
['Thibadeaux, LA',1],
['Pleasanton, CA',5],
['New Berlin, NY',70],
['Marshall, MI',4],
['Paradise, CA',1],
['Spearfish, SD',1],
['Clinton, IA',1],
['Loveland, CO',7],
['Lake Worth, FL',15],
['Streamwood, IL',1],
['Rancho Cucamonga, CA',51],
['Colleson, AZ',1],
['Caruthersville, MO',2],
['Lexington, VA',4],
['New Westiminster, British Columbia',1],
['Nashua, NH',3],
['Reading, PA',9],
['Pinole, CA',2],
['La Grange, NC',1],
['Childress, TX',1],
['Cozad, NE',1],
['Luling, LA',1],
['Twinsburg, OH',4],
['Libby, MT',1],
['Whitehall, PA',1],
['Placentia, CA',6],
['Hidalgo, TX',1],
['Glen Rose, TX',1],
['Hudson, OH',7],
['Bellingham, WA',2],
['Crossett, AR',1],
['Alliance, OH',6],
['Harvest, AL',2],
['Bend, OR',1],
['Union City, TN',1],
['Sanford, NC',3],
['Southington, CT',1],
['Bainbridge, GA',9],
['Garden Plain, KS',2],
['Mount Vernon, TX',2],
['Blaine, MN',1],
['Etowah, AL',1],
['Gwynn Park, MD',1],
['Camarillo, CA',6],
['Glen Oaks, LA',1],
['Clover, SC',1],
['Perry, OK',1],
['Perry, OH',3],
['Quincy, MA',1],
['East Ridge, FL',1],
['Port Allen, LA',6],
['The Colony, TX',5],
['St. Louis Park, MN',1],
['Opelousas, LA',5],
['Alpharetta, GA',33],
['Cologne, NA',1],
['Del City, OK',5],
['Butte, MT',1],
['Sanford, FL',14],
['North Bethesda, MD',4],
['Chiefland, FL',2],
['Commerce, MI',1],
['Linden Kildare, TX',1],
['Jasper, IN',1],
['Orange, OH',1],
['Decatur, AL',9],
['Shelton, WA',2],
['Greenville, AL',2],
['Oakmont, PA',1],
['Simi Valley, CA',12],
['Charleston, WV',2],
['Carlsbad, NM',1],
['Mascoutah, IL',1],
['Lacey, WA',3],
['Fairfield, AL',3],
['Stockton, CA',43],
['Manlius, NY',3],
['Scuuasunna, NJ',1],
['Huntsville, AL',30],
['Wethersfield, CT',1],
['Ottawa, Ontario',3],
['Lewisport, KY',1],
['Clairmont, FL',1],
['Montevallo, AL',2],
['Saratoga, CA',2],
['Tignall, GA',1],
['Playa Del Rey, CA',2],
['Union, KY',2],
['La Quinta, CA',5],
['Covington, GA',8],
['Burkburnett, TX',2],
['Centerville, UT',1],
['Bellbrook, OH',3],
['Anaheim, CA',29],
['Sulphur, OK',2],
['Oak Park, IL',3],
['Cheltenham, MD',1],
['Victoria, MN',1],
['Union Bridge, MD',2],
['Saddle Brook, NJ',2],
['Morristown, NY',1],
['Foley, AL',8],
['Salisbury, NC',3],
['Pulaski, NY',1],
['Rich Central, IL',1],
['Kearney, NE',1],
['London, KY',2],
['Logan, UT',12],
['Mulvane, KS',1],
['Wilton, CA',1],
['Shelbyville, IN',1],
['Lena, LA',1],
['Morristown, NJ',4],
['Ionia, MI',1],
['Bremen, GA',1],
['Owatonna, MN',1],
['Dendron, VA',1],
['Morton, MS',3],
['Woodland, CA',5],
['Hightstown, NJ',2],
['Fairfield, OH',5],
['Pomfret, MD',7],
['Oakley, CA',5],
['San Bernardino, CA',29],
['West Point, MS',7],
['Concord, NC',7],
['Norwalk, CA',37],
['Shoreham, NY',1],
['Swainsboro, GA',4],
['Clermont, FL',8],
['North Richland Hills, TX',7],
['Archibald, LA',1],
['Castaic, CA',1],
['U S A F Academy, CO',1],
['Gilman, IL',1],
['Indianapolis, IN',123],
['Alpadena, CA',1],
['Wellman, IA',1],
['Escondido, CA',6],
['Terrell, TX',5],
['West Helena, AR',6],
['University Park, IL',1],
['Conway, AR',3],
['Hartwell, GA',3],
['Lake Terrace, CA',1],
['Huntington, CA',1],
['Umatilla, FL',1],
['Lake Balboa, CA',9],
['Else, TX',1],
['Nantucket, MA',1],
['Northside, GA',1],
['West Rowan, NC',1],
['South Charleston, WV',1],
['La Porte City, IA',1],
['Hermitage, PA',3],
['Piedmont, OK',1],
['Atlanta, TX',9],
['Pago Pago, NA',7],
['Heidelberg, MS',2],
['Muscle Shoals, AL',2],
['Montgomery, AL',29],
['Lake Barrington, IL',1],
['Casady, OK',1],
['Warrenton, NC',1],
['Menasha, WI',3],
['Colts Neck, NY',1],
['Boerne, TX',2],
['Conway, SC',6],
['Mira Mesa, CA',1],
['Carbondale, CO',1],
['Centreville, OH',1],
['Superior, MT',1],
['South View, NC',1],
['Lodi, NJ',1],
['Collinsville, MS',1],
['Marana, AZ',1],
['Little Chute, WI',1],
['Hartford, CT',4],
['Wagener, SC',2],
['East Palo Alto, CA',4],
['Lakewood, CA',25],
['Lynnwood, WA',3],
['Elkhorn, NE',4],
['St. Paul, MN',14],
['Lewis Center, OH',7],
['Germantown, OH',1],
['Madison, WI',6],
['Amite, LA',7],
['Hayward, CA',21],
['Pauls Valley, OK',2],
['Santa Anna, CA',1],
['Hanville, LA',1],
['Senatobia, MS',37],
['San Pedro, CA',2],
['Bearden, AR',4],
['Kennewick, WA',7],
['Beaver Dam, WI',4],
['Westville, NJ',4],
['Athens, TN',1],
['Richmond, British Columbia',1],
['Somerset, TX',3],
['Hagerstown, MD',1],
['Athens, TX',52],
['Columbiana, AL',1],
['Palm Beach Lakes, FL',1],
['Mayfield, OH',2],
['Allendale, NJ',2],
['New Windsor, NY',1],
['Manor, TX',1],
['Waldorf, MD',16],
['Lititz, PA',1],
['Mukilteo, WA',4],
['Coldspring, TX',2],
['Taos, NM',1],
['Arnold, MD',1],
['Endicott, NY',4],
['Potosi, MO',1],
['Goulds, FL',1],
['Harpursville, NY',1],
['Faleasso, HI',1],
['New London, WI',1],
['Potomac, VA',1],
['Sunnyvale, TX',1],
['Kelso, WA',1],
['Battle Creek, MI',8],
['Soquel, CA',1],
['Lanett, AL',1],
['Monterey, CA',5],
['Mt. Laurel, NJ',2],
['Century, FL',3],
['Watkinsville, GA',2],
['Pevely, MO',1],
['Ada, OK',3],
['Lake City, SC',2],
['Oxford, MI',3],
['McMinnville, TN',1],
['Hooker, OK',1],
['Lovejoy, GA',18],
['York, AL',2],
['Columbia, MD',3],
['Portal, GA',2],
['Woodland Hills, CA',45],
['Columbia, MO',19],
['Parkland, FL',6],
['Apopka, FL',30],
['Sandy, UT',18],
['Cibolo, TX',12],
['Hahnville, LA',5],
['Clarence, NY',1],
['Walpole, MA',1],
['Piedmont, CA',3],
['Warm Springs, GA',1],
['Harlingen, TX',1],
['Oxford, MS',15],
['Sumter, SC',11],
['Jacksonviille, FL',1],
['Berkeley, CA',10],
['Kenly, NC',1],
['Chicago, IL',154],
['Moorestown, NJ',4],
['Cedar Grove, NJ',2],
['Palmyra, PA',2],
['Lehigh Acres, FL',3],
['Goshen, IN',1],
['Hannibal, OH',1],
['Mt Carmel, IL',1],
['Reedley, CA',24],
['Manhatten Beach, CA',1],
['Torrance, CA',87],
['Murfreesboro, TN',18],
['Manheim, PA',1],
['Cheraw, SC',2],
['Pocahontas, AR',1],
['Norwell, IN',1],
['La Jolla, CA',3],
['Fort Mitchell, KY',1],
['Burnsville, MN',1],
['Brick, NJ',1],
['Miami Gardens, FL',5],
['Poughkeepsie, NY',2],
['Bloomington, IL',8],
['Pleasure Ridge Park, KY',1],
['Saukville, WI',1],
['Scanton, PA',1],
['Augusta, AR',1],
['Greensburg, PA',10],
['Powhatan, VA',2],
['Boras, Sweden',1],
['Murieta, CA',1],
['O\xc3\xa2\xe2\x82\xac\xe2\x84\xa2Fallon, MO',1],
['Smithville, MO',1],
['Norristown, PA',4],
['Grand Haven, MI',5],
['Cambridge Springs, PA',1],
['Garner, IA',1],
['Atwood, KS',1],
['River Grove, IL',1],
['Santa Paula, CA',1],
['Watertown, CT',1],
['Santa Margarita, CA',5],
['Eupora, MS',2],
['Irving, TX',58],
['Leavittsburg, OH',1],
['Moab, UT',1],
['Tuskegee, AL',1],
['Laie, HI',6],
['Marrieta, GA',1],
['Waco, TX',36],
['Hoganus, Sweden',1],
['Montpelier, VA',1],
['Roseville, CA',18],
['Greenwell Springs, LA',1],
['Glen Burnie, MD',2],
['Medina, WA',1],
['Pelion, SC',1],
['Florence, KY',1],
['Spring, TX',48],
['Hibbing, MN',1],
['Galesburg, IL',1],
['Brockville, Ontario',1],
['Williamston, NC',2],
['St. Stephen, SC',3],
['Bridgeport, CT',2],
['Monroe, LA',40],
['Maywood, IL',4],
['Caddo Mills, TX',4],
['Fruitland, ID',2],
['Laureldale, PA',1],
['Andover, NH',3],
['Kerrville, TX',4],
['Carthage, TX',7],
['Pleasant Hill, CA',22],
['Bexley, OH',1],
['Maple Heights, OH',11],
['Pottsville, AR',1],
['Geneva, IL',4],
['Wellston, OH',1],
['Ft .Pierce, FL',1],
